,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Geo point,Postal code,Public name,Rental status,Slots,Status,Subscription status,year,month,day,hour,minute,new_datetime
3700,20 Chemin Lat̩ral,0,0,0,0,1,operational,Drancy,drancy-cheminlateral-20,STATION,"48.93327, 2.455181",93700,Drancy/Lat̩ral/20,operational,6,ok,nonexistent,2018,4,3,16,31,2018-04-03 16:31:00
3701,1bis Avenue Joseph Franceschi,4,4,0,0,0,nonexistent,Alfortville,alfortville-josephfranceschi-1,STATION,"48.80542, 2.421282",94140,Alfortville/Joseph Franceschi/1,operational,0,ok,nonexistent,2018,4,1,2,0,2018-04-01 02:00:00
3702,12 bis Route de la Reine,3,3,0,1,0,nonexistent,Boulogne-Billancourt,boulognebillancourt-reine-12,STATION,"48.8388074, 2.2505008",92100,Boulogne-Billancourt/Reine/12,operational,1,ok,nonexistent,2018,4,1,2,36,2018-04-01 02:36:00
3703,28 rue Darcet,1,1,0,0,1,operational,Paris,paris-darcet-28,STATION,"48.8845364, 2.3246579",75017,Paris/Darcet/28,operational,4,ok,nonexistent,2018,4,4,10,36,2018-04-04 10:36:00
3704,6 avenue de la Porte de Champerret,4,4,0,0,0,nonexistent,Paris,paris-portedechamperret-6,PARKING,"48.8862632, 2.2874511",75017,Paris/Porte de Champerret/6,operational,2,ok,nonexistent,2018,4,7,10,25,2018-04-07 10:25:00
3705,42 Rue Victor Hugo,5,5,0,1,0,nonexistent,Colombes,colombes-victorhugo-42,STATION,"48.92087, 2.264111",92700,Colombes/Victor Hugo/42,operational,0,ok,nonexistent,2018,4,9,18,39,2018-04-09 18:39:00
3706,2 avenue Fran̤ois Mauriac,5,5,1,0,0,nonexistent,Cr̩teil,creteil-francoismauriac-2,STATION,"48.785363, 2.4528354",94000,Cr̩teil/Fran̤ois Mauriac/2,operational,0,ok,nonexistent,2018,4,8,22,29,2018-04-08 22:29:00
3707,30 rue Marcel Vigneron,2,2,0,1,0,nonexistent,Arcueil,arcueil-marcelvigneron-30,STATION,"48.80365, 2.342448",94110,Arcueil/Marcel Vigneron/30,operational,3,ok,nonexistent,2018,4,8,3,27,2018-04-08 03:27:00
3708,2 Rue Georges Berger,2,2,0,0,2,operational,Paris,paris-georgesberger-2,STATION,"48.88093, 2.309852",75017,Paris/Georges Berger/2,operational,3,ok,nonexistent,2018,4,8,1,34,2018-04-08 01:34:00
3709,1 Boulevard Murat,3,3,0,0,1,operational,Paris,paris-murat-1,STATION,"48.84744, 2.258728",75016,Paris/Murat/1,operational,1,ok,nonexistent,2018,4,8,10,25,2018-04-08 10:25:00
